nx_shortest_path_length,nx_shortest_travel_time_length,shortest_steps,time_steps
1284.3839999999998,89.5,21.0,18.0
1759.348,119.39999999999999,12.0,13.0
5244.895,357.99999999999994,61.0,59.0
3479.0090000000005,247.50000000000006,38.0,33.0
1740.8429999999996,120.2,20.0,21.0
663.246,42.6,8.0,8.0
4457.381,305.5,52.0,53.0
2321.052,332.5,21.0,20.0
856.4970000000001,58.099999999999994,10.0,9.0
885.7270000000001,59.3,13.0,13.0
1563.2130000000002,108.8,16.0,16.0
3043.832999999999,238.1,38.0,38.0
3040.2159999999994,180.4,30.0,22.0
4116.3330000000005,293.6,31.0,32.0
3594.2769999999996,258.29999999999995,26.0,29.0
4234.032,332.6,37.0,37.0
963.608,62.900000000000006,11.0,11.0
1239.5860000000002,80.0,12.0,12.0
3060.1800000000007,211.20000000000002,41.0,38.0
3095.6590000000006,220.79999999999998,38.0,37.0
1203.558,83.39999999999999,13.0,13.0
3222.0040000000004,223.5,29.0,29.0
1443.502,97.89999999999999,17.0,16.0
1630.1580000000004,171.20000000000002,21.0,24.0
884.8910000000001,66.19999999999999,14.0,14.0
4739.866999999998,319.2000000000001,47.0,43.0
3988.7989999999995,283.79999999999995,49.0,49.0
4244.366000000002,268.19999999999993,43.0,29.0
3291.775999999999,238.49999999999997,37.0,41.0
1737.5780000000002,119.89999999999999,14.0,14.0
1803.003,116.2,26.0,22.0
3190.798,206.3,34.0,20.0
2197.688,146.00000000000003,24.0,23.0
3164.5369999999994,213.90000000000003,37.0,29.0
4227.7919999999995,291.20000000000005,49.0,47.0
3150.826,225.1,34.0,22.0
2160.9549999999995,140.60000000000002,21.0,21.0
3302.0889999999995,241.29999999999998,38.0,38.0
3404.2500000000005,232.19999999999996,31.0,38.0
3907.803,266.69999999999993,39.0,30.0
4557.5149999999985,335.00000000000017,44.0,39.0
2114.622,175.40000000000003,22.0,19.0
3421.0639999999994,250.10000000000008,30.0,30.0
4247.723000000002,304.8,45.0,44.0
3729.659,273.3999999999999,36.0,36.0
2328.906,248.39999999999995,25.0,29.0
3416.024999999999,243.10000000000002,39.0,37.0
1331.9379999999999,165.20000000000002,21.0,23.0
3108.7590000000005,203.60000000000008,34.0,40.0
2715.5989999999997,194.7,34.0,33.0
102.046,7.6,2.0,2.0
3594.0650000000005,235.39999999999995,38.0,35.0
2292.52,150.10000000000002,25.0,16.0
1296.559,105.3,8.0,8.0
318.8059999999999,20.799999999999997,6.0,6.0
1724.8479999999997,124.1,18.0,16.0
1671.3180000000004,117.39999999999999,19.0,19.0
4341.361000000001,306.79999999999995,55.0,55.0
2496.8050000000003,162.60000000000002,28.0,25.0
4067.0510000000004,291.3999999999999,39.0,41.0
1118.805,82.2,13.0,13.0
4376.055000000001,311.8999999999999,44.0,44.0
2738.5220000000004,274.59999999999997,30.0,33.0
3624.1820000000007,227.8,39.0,38.0
2243.1580000000004,139.0,23.0,23.0
2671.335000000001,183.50000000000003,29.0,29.0
6169.332,391.3,53.0,31.0
2186.609,159.89999999999998,26.0,24.0
605.062,42.7,9.0,9.0
2026.2700000000002,136.60000000000002,28.0,25.0
3023.191,207.2,24.0,30.0
2168.594,166.69999999999996,26.0,28.0
3246.4919999999993,226.70000000000002,38.0,34.0
4608.519,321.30000000000007,54.0,56.0
3539.7009999999996,243.3,35.0,29.0
2431.7599999999993,176.09999999999994,35.0,37.0
1384.045,98.99999999999999,21.0,20.0
3476.7629999999995,250.0,40.0,39.0
3875.216,216.49999999999997,31.0,31.0
1004.2760000000001,65.6,19.0,19.0
3697.5739999999996,327.20000000000005,34.0,31.0
5462.179999999999,383.89999999999986,47.0,54.0
2578.8480000000004,171.49999999999997,26.0,32.0
566.6329999999999,39.9,9.0,9.0
3145.926,224.00000000000003,39.0,38.0
2994.0750000000003,192.79999999999995,32.0,32.0
3576.236,197.8,31.0,23.0
2222.1779999999994,145.5,25.0,20.0
2894.221,201.40000000000003,34.0,35.0
3710.8070000000002,264.1,32.0,32.0
658.588,44.099999999999994,7.0,7.0
2702.592,180.10000000000002,32.0,30.0
3411.8079999999995,223.99999999999997,37.0,35.0
1003.968,74.89999999999999,11.0,11.0
3967.996999999999,284.99999999999994,39.0,39.0
252.756,18.8,5.0,5.0
2022.341,216.2,24.0,24.0
6400.184000000001,451.8,59.0,61.0
1849.0679999999998,123.10000000000002,24.0,24.0
1747.579,113.89999999999999,24.0,24.0
1856.2939999999999,126.60000000000002,28.0,26.0
2873.2069999999994,204.6,35.0,33.0
3102.6019999999994,218.9000000000001,24.0,24.0
4261.139,302.9,51.0,25.0
3655.8830000000003,240.29999999999995,38.0,38.0
3010.2760000000007,263.90000000000003,35.0,35.0
3052.3810000000003,210.1,27.0,35.0
3357.8410000000003,234.00000000000003,33.0,33.0
4199.0560000000005,278.2,39.0,42.0
4625.3600000000015,324.3999999999999,33.0,42.0
2479.793,179.60000000000005,27.0,32.0
6099.629,425.0,53.0,71.0
2206.6600000000003,143.10000000000002,23.0,23.0
4598.197,294.20000000000005,42.0,29.0
2774.5409999999993,183.59999999999997,31.0,25.0
2774.5409999999993,183.59999999999997,31.0,25.0
2237.053,163.4,29.0,29.0
3541.153,279.9,42.0,46.0
2521.1169999999997,166.49999999999997,31.0,31.0
2714.8079999999995,202.29999999999995,32.0,32.0
5571.315999999999,370.8,54.0,51.0
4558.991000000001,326.90000000000003,51.0,42.0
125.36200000000001,9.3,3.0,3.0
3788.0820000000003,268.70000000000005,45.0,38.0
1185.8400000000001,80.8,14.0,12.0
2128.572,144.60000000000002,23.0,23.0
2540.555,182.00000000000003,23.0,26.0
2195.5629999999996,144.9,17.0,20.0
4769.159999999999,336.59999999999997,52.0,39.0
1402.8559999999998,98.9,17.0,18.0
4184.698999999999,289.1,41.0,45.0
2466.6109999999994,176.3,34.0,27.0
3131.0710000000004,227.1,29.0,28.0
4927.104,352.19999999999993,43.0,40.0
4809.923000000001,343.59999999999985,58.0,60.0
5009.6309999999985,357.8,60.0,52.0
2210.134,152.20000000000002,29.0,27.0
3408.4669999999996,184.80000000000004,19.0,18.0
684.376,44.300000000000004,9.0,8.0
3045.4319999999993,220.6,40.0,28.0
1423.1979999999999,99.49999999999999,18.0,18.0
3587.813,248.30000000000004,35.0,31.0
657.4309999999998,42.7,9.0,9.0
4265.358,286.6,43.0,43.0
2424.763,157.2,26.0,27.0
4898.451999999999,350.7,45.0,45.0
767.436,49.4,10.0,10.0
3654.198,258.6,30.0,29.0
1336.9509999999998,87.1,17.0,17.0
4940.3290000000015,349.99999999999994,49.0,49.0
2955.0899999999992,201.4,28.0,36.0
3154.659,212.70000000000002,33.0,29.0
3806.910999999999,273.7,47.0,42.0
2124.625,153.5,19.0,22.0
2771.1249999999995,183.60000000000005,39.0,31.0
4630.98,304.0,55.0,54.0
3242.5110000000004,213.20000000000005,31.0,32.0
3422.8220000000006,190.10000000000002,28.0,23.0
2321.553,155.9,29.0,29.0
3053.8759999999997,319.9999999999999,27.0,35.0
5049.023,433.1999999999998,41.0,44.0
4890.541,348.3,42.0,44.0
2256.508,164.99999999999994,26.0,28.0
3237.6320000000005,324.79999999999995,28.0,31.0
1995.2559999999999,146.79999999999998,27.0,27.0
5220.563000000001,366.3999999999999,56.0,54.0
4471.976999999998,310.4,49.0,49.0
4488.202,315.6,36.0,36.0
2659.7570000000005,170.8,28.0,34.0
2209.953,154.89999999999998,23.0,23.0
5262.454000000001,400.6999999999999,56.0,55.0
1622.5660000000003,105.3,16.0,22.0
2657.6299999999997,195.10000000000002,28.0,27.0
2692.069999999999,180.8,30.0,32.0
591.3319999999999,38.3,9.0,9.0
3327.612,242.79999999999998,30.0,24.0
3278.082,178.60000000000002,28.0,20.0
5274.4169999999995,355.29999999999995,62.0,56.0
921.5889999999999,59.5,15.0,15.0
4190.038,278.8,46.0,40.0
1560.464,104.10000000000001,19.0,20.0
1933.906,144.29999999999998,29.0,29.0
5561.2570000000005,399.7999999999999,48.0,51.0
4885.772000000001,349.09999999999997,40.0,40.0
2223.5289999999995,150.39999999999998,28.0,32.0
4518.765,314.5999999999999,40.0,40.0
2994.9339999999997,214.49999999999994,27.0,28.0
1442.0000000000002,103.50000000000001,21.0,19.0
2710.36,202.2,28.0,29.0
2137.253,152.60000000000002,21.0,20.0
708.3330000000001,46.8,7.0,7.0
3054.4640000000004,224.49999999999997,38.0,37.0
4403.964,316.50000000000006,41.0,44.0
1331.394,96.7,15.0,15.0
